what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1310746326499
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310746327499
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1310746330158
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310746331492
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310746332572
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1310746334963
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746346580
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746359000
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1310746367904
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1310746368188
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1310746380617
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1310746404707
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746407741
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1310746407791
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310746408020
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746418770
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310746426994
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746440405
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746442296
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1310746447216
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1310746471529
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310746475312
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746508535
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746509799
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746513430
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746520327
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1310746522630
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746525999
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746531449
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310746531598
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310746531622
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746532869
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310746577948
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.selectAll",1310746579014
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310746579428
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310746598864
opened,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1310746603380
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1310746603397
