what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310748116798
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PropertiesFileEditor",1310748121455
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310748122533
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748124742
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1310748124784
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748136153
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.cut",1310748144604
executed,command,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.edit.text.select.lineStart",1310748153910
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310748154295
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748159622
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748201779
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748208977
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.open.editor",1310748209010
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748212361
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748222704
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310748228003
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1310748261954
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748278017
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748284263
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310748285659
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748296927
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748305832
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1310748322589
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310748337398
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310748344550
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310748362009
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310748367698
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1310748383724
error,log,,,"Core exception while retrieving the content description",1310748386885
error,log,,,"Core exception while retrieving the content description",1310748386886
error,log,,,"Core exception while retrieving the content description",1310748386887
error,log,,,"Core exception while retrieving the content description",1310748386888
error,log,,,"Core exception while retrieving the content description",1310748386889
error,log,,,"Core exception while retrieving the content description",1310748386890
error,log,,,"Core exception while retrieving the content description",1310748386891
error,log,,,"Core exception while retrieving the content description",1310748386891
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1310748387059
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748400331
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748418334
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310748419729
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1310748431304
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748433358
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748434279
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310748440288
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1310748452682
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748453458
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748464160
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748465996
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748483946
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310748490733
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310748492132
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1310748499008
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.delete",1310748499193
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1310748505423
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310748513419
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748515609
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748522410
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1310748531438
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310748535385
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748538375
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.findReplace",1310748538409
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748547856
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310748548954
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748550757
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748554943
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310748555401
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748556371
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748564561
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1310748565025
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748565956
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748576356
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1310748577616
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748589390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748589557
error,log,,,"Unhandled event loop exception",1310748589724
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748595261
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748595395
error,log,,,"Unhandled event loop exception",1310748595466
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1310748598110
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1310748617469
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310748639685
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310749305097
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310749307925
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310749339124
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310749339826
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310749340928
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310749354163
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310749355972
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310749356660
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310749368241
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1310749376981
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310749386195
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1310749392181
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310749392387
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310749392431
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1310749394399
